lotincha_nom,qoraqalpoqcha_nom,manba,hal_qilingan_nom,qaysi_bosqich
Halimodendron halodendron (Pall.) Voss.,"шенгел, менгел",Ережепов 1978 + Шербаев 1988,,1-bosqich
Halocharis hispida (C. A. Mey.) Bunge,коянжун,Ережепов 1978 + Шербаев 1988,,1-bosqich
Halocnemum strobilaceum (Pall.) Bieb.,"сарсазан, сарысазан",Ережепов 1978 + Шербаев 1988,,1-bosqich
Halostachys caspica (Bieb.) C. A. Mey.,карабарак,Ережепов 1978 + Шербаев 1988,,2-bosqich
Haloxylon ammodendron (C. A. Mey.) Bunge,"кырсексеул, кырсексеуил",Ережепов 1978 + Шербаев 1988,,1-bosqich
Haloxylon aphyllum (Minkw.) Iljin.,"карасексеул, карасексеуил",Ережепов 1978 + Шербаев 1988,,1-bosqich
Haloxylon persicum Bunge,"аксеул, сексексеуил",Ережепов 1978 + Шербаев 1988,,1-bosqich
Haplophyllum ramosissimum (Pauls.) Vved.,"шайшоп, сарсебиз",Ережепов 1978,,1-bosqich
Heliotropium arguzioides Kar. et Kir.,шайшоп,Ережепов 1978,,1-bosqich
Horaninovia ulicina Fisch. et Mey.,сары тикен,Шербаев 1988,,1-bosqich
Horaninowia anomale (C. A. Mey) Moq.,сарыткен,Ережепов 1978,,1-bosqich
Horaninowia sogdiana Blag.,сарыткен,Ережепов 1978,,
Hyoscyamus niger L.,мингдуана,Ережепов 1978,,1-bosqich
Hyoscyamus pusillus L.,мингдуана,Ережепов 1978,,1-bosqich
Hypecoum pendulum L.,жабайыкокнар,Ережепов 1978,,2-bosqich
Iris germanica L.,каракас,Шербаев 1988,,
Iris longiscapa Ledeb.,"назил, нэзил, кемпир шаш",Ережепов 1978 + Шербаев 1988,,1-bosqich
Isatis violascens Bunge,штыр,Ережепов 1978,,
Juglans regia L.,"гоза, жангак",Шербаев 1988,,1-bosqich
Kalidium caspicum (L.) Ung.-Sternb.,штыр,Ережепов 1978,,1-bosqich
Kalidium foliatum (Pall.) Moq.,туйе сора,Шербаев 1988,,1-bosqich
Karelinia caspia (Pall.) Less.,акбас,Ережепов 1978 + Шербаев 1988,,1-bosqich
Kochia prostrata (L.) Schrad.,"изен, изень",Ережепов 1978 + Шербаев 1988,,1-bosqich
Koelpinia linearis Pall.,"пшыктырнак, каргатырнак, пышыктырнак",Ережепов 1978 + Шербаев 1988,,1-bosqich
Lagenaria vulgaris Ser.,суу кабак,Шербаев 1988,Lagenaria siceraria,
Lappula spinocarpa (Forsk.) Aschers. ex Kuntze,жабыскакшоп,Ережепов 1978,,1-bosqich
Lepidium cortilagineum (J. Mayer) Thell.,мынгбас,Ережепов 1978,,1-bosqich
Lepidium latifolium L.,мынгбас,Ережепов 1978,,1-bosqich
Lepidium perfoliatum L.,"мынгбас, мынбас",Ережепов 1978 + Шербаев 1988,,1-bosqich
Leymus angustus (Trin.) Pilg.,кияк,Ережепов 1978,,2-bosqich
Leymus multicaulis (Kar. et Kir.) Tzvel.,кияк,Ережепов 1978,,2-bosqich
Leymus racemosus (Lam.) Tzvel.,кияк,Ережепов 1978,,2-bosqich
Limonium gmelinii (Willd.) O. Kuntze,итсигек,Ережепов 1978,,1-bosqich
Limonium otolepis (Schrenk.) Kuntze,итсигек,Ережепов 1978,,1-bosqich
Luffa cylindrica (L.) M.Roem.,дасмалкабак,Шербаев 1988,Cucumis melo,4-bosqich
Lycium ruthenicum Murr.,"актикен, акшенгел, карамык",Ережепов 1978 + Шербаев 1988,,1-bosqich
Mausolea eriocarpa (Bunge) Poljak.,харем жуусан,Шербаев 1988,,1-bosqich
Medicago lupulina L.,жабайыжонгыршка,Ережепов 1978,,1-bosqich
Medicago sativa L.,егис жонышкасы,Шербаев 1988,,1-bosqich
Melo agrestis (Naud.) Pang.,ийт туинек,Шербаев 1988,,1-bosqich
Melo dudaim (L.) Sager.,тас туинек,Шербаев 1988,Cucumis melo,4-bosqich
Melo sativus Sager. et M. Roem.,иттуйнек,Ережепов 1978,Cucumis melo,4-bosqich
Melo zard,сары гулабы,Шербаев 1988,Cucumis melo,4-bosqich
Mirabilis jalapa L.,намазшамгул,Шербаев 1988,,
Morus alba L.,ак тут,Шербаев 1988,,1-bosqich
Morus nigra L.,каратут,Шербаев 1988,,1-bosqich
Najas marina L.,шаланг,Ережепов 1978,,1-bosqich
Nanophyton erinaceum (Pall.) Bunge,тасбшоргун,Шербаев 1988,,1-bosqich
Nanophyton sibirica (Pall.) Bunge,тасбиургун,Ережепов 1978,,
Nuphar lutea (L.) Smith,сары тунгыйык,Шербаев 1988,,
Nymphaea candida J. et C.Presl,ак тунгыйык,Шербаев 1988,,1-bosqich
Ocimum basilicum L.,назбаигул,Шербаев 1988,,
Orobanche aegyptiaca Pers.,каунгул,Ережепов 1978,,2-bosqich
Oryza sativa L.,салы,Шербаев 1988,,
Panicum miliaceum L.,тары,Шербаев 1988,,
Papaver pavoninum Schrenk,"жабайыкокнаркызгалдак, жабайы кокнар",Ережепов 1978 + Шербаев 1988,,1-bosqich
Papaver somniferum L.,кокнар,Шербаев 1988,,
Peganum harmala L.,адраспан,Ережепов 1978 + Шербаев 1988,,1-bosqich
Petrosimonia sibirica (Pall.) Bunge,торгайот,Ережепов 1978,,1-bosqich
Phaseolus aureus Roxb.,маш,Шербаев 1988,Vigna radiata var. radiata,
Phaseolus vulgaris L.,лобия,Шербаев 1988,,
Phragmites australis (Cav.) Trin. ex Steud.,"камыс, кадимги камыс",Ережепов 1978 + Шербаев 1988,,1-bosqich
Phragmites isiacus (Delile) Kunth.,наркамыс,Ережепов 1978 + Шербаев 1988,Phragmites australis subsp. isiacus,4-bosqich
Plantago lachnantha Bunge,аткулак,Ережепов 1978,,1-bosqich
Plantago lagocephala Bunge,аткулак,Ережепов 1978,,1-bosqich
Plantago lanceolata L.,аткулак,Ережепов 1978,,1-bosqich
Plantago major L.,аткулак,Ережепов 1978,,1-bosqich
Plantago minuta Pall.,аткулак,Ережепов 1978,,1-bosqich
Poa bulbosa L.,"конгырбас, конырбас",Ережепов 1978 + Шербаев 1988,,1-bosqich
Polygonum amphibium L.,"тамырдари, дари тамыр",Ережепов 1978 + Шербаев 1988,Persicaria amphibia,4-bosqich
Polygonum aviculare L.,"кзылтары, кызылтары",Ережепов 1978 + Шербаев 1988,,1-bosqich
Polygonum corrigioloides Jaub. et Spach.,кзылтары,Ережепов 1978,,1-bosqich
Polygonum hydropiper L.,суу бурышы,Шербаев 1988,Persicaria hydropiper,4-bosqich
Polygonum scabrum Moench,кзылтары,Ережепов 1978,,1-bosqich
Populus alba L.,ак терек,Шербаев 1988,,1-bosqich
Populus ariana Dode,торангыл,Ережепов 1978 + Шербаев 1988,Populus euphratica,4-bosqich
Populus bachofenii Wierzb. ex Rochel,кок терек,Шербаев 1988,Populus alba,4-bosqich
Populus diversifolia Schrenk,торангыл,Ережепов 1978 + Шербаев 1988,Populus euphratica,4-bosqich
Populus nigra L.,каратерек,Шербаев 1988,,1-bosqich
Populus pruinosa Schrenk,торангыл,Ережепов 1978 + Шербаев 1988,,1-bosqich
Portulaca oleracea L.,"семизшоп, семиз шоп",Ережепов 1978 + Шербаев 1988,,1-bosqich
Potamogeton crispus L.,шаланг,Ережепов 1978,,1-bosqich
Potamogeton filaformis Pers.,шаланг,Ережепов 1978,,1-bosqich
Potamogeton lucens L.,шаланг,Ережепов 1978,,1-bosqich
Potamogeton nodosus Poir.,шаланг,Ережепов 1978,,1-bosqich
Potamogeton pectinatus L.,шаланг,Ережепов 1978,,1-bosqich
Potamogeton perfoliatus L.,шаланг,Ережепов 1978,,1-bosqich
Psammogeton borszczovii (Rgl. et Schmalh.) Lipsky,зра,Ережепов 1978,,
Psammogeton setifolium (Boiss.) Boiss.,зра,Ережепов 1978,,
Ranunculus platyspermus Fisch. ex DC.,штыр,Ережепов 1978,,1-bosqich
Ranunculus sceleratus L.,штыр,Ережепов 1978,,1-bosqich
Rheum tataricum L.,"жапрак, туиежапрак, туе жапрак",Ережепов 1978 + Шербаев 1988,,1-bosqich
Rheum turkestanicum Janisch.,"жапрак, туйэжапрак, туе жапрак",Ережепов 1978 + Шербаев 1988,,1-bosqich
Rochelia macrocalyx Bunge,жабыскакшоп,Ережепов 1978,Rochelia rectipes,4-bosqich
Roemeria hibrida (L.) DC.,кызгалдак,Шербаев 1988,,1-bosqich
Roemeria refracta DC.,"кизгалдак, кызгалдак",Ережепов 1978 + Шербаев 1988,,1-bosqich
Rosa damascena Mill.,атиргуль,Шербаев 1988,,
Rubia tinctorum L.,уайранбояу,Ережепов 1978 + Шербаев 1988,,2-bosqich
Salix alba L.,ак тал,Шербаев 1988,,1-bosqich
Salix excelsa S.G.Gmel.,узынтал,Шербаев 1988,,1-bosqich
Salix linearifolia E. Wolf.,"наруан тал, ук тал",Шербаев 1988,,1-bosqich
Salix songarica Anders.,"тал, ешки тал, жэнеуттал, тогай тал",Ережепов 1978 + Шербаев 1988,,1-bosqich
Salix wilhelmsiana Bieb.,"шгыртал, уйтал, шыгыртал, уи тал",Ережепов 1978 + Шербаев 1988,,1-bosqich
Salsola arbuscula Pall.,боялыш,Ережепов 1978 + Шербаев 1988,,1-bosqich
Salsola arbusculiformis Drob.,"боялыш, карабоялыш",Ережепов 1978 + Шербаев 1988,Oreosalsola arbusculiformis,4-bosqich
Salsola crassa Bieb.,балыккоз,Ережепов 1978,Climacoptera crassa,4-bosqich
Salsola dendroides Pall.,"сора, аксар",Ережепов 1978 + Шербаев 1988,,1-bosqich
Salsola iberica Sennen et Pau,туекарын,Ережепов 1978,,1-bosqich
Salsola implicata Botsch.,ебелек,Ережепов 1978,,1-bosqich
Salsola laricifolia Turcz. ex Litv.,боялыш,Ережепов 1978,Oreosalsola laricifolia,4-bosqich
