species_sci,wcvp_matched_name,wcvp_status,accepted_name,accepted_authors,accepted_family,accepted_genus,accepted_rank,powo_id,powo_match_type
Gastrolychnis apetala (L.) Tolm. & Kozhanch.,Gastrolychnis apetala (L.) Tolm. & Kozhanch.,Synonym,Silene wahlbergella,Chowdhuri,Caryophyllaceae,Silene,Species,158669-1,exact_full
Gastrolychnis longicarpophorum (Kom.) Lazkov,Gastrolychnis longicarpophora (Kom.) Czerep.,Synonym,Silene longicarpophora,(Kom.) Bocquet,Caryophyllaceae,Silene,Species,157706-1,canon_exact
Gentiana barbata Froel.,Gentiana barbata Froel.,Synonym,Gentianopsis barbata,(Froel.) Ma,Gentianaceae,Gentianopsis,Species,369371-1,exact_full
Gentiana karelinii Griseb.,Gentiana karelinii Griseb.,Synonym,Gentiana prostrata var. karelinii,(Griseb.) Kusn.,Gentianaceae,Gentiana,Variety,77250167-1,exact_full
Gentiana kirilowii Turcz.,Gentiana kirilowii Turcz.,Accepted,Gentiana kirilowii,Turcz.,Gentianaceae,Gentiana,Species,77221879-1,exact_full
Gentiana leucomelaena Maxim.,Gentiana leucomelaena Maxim. ex Kusn.,Accepted,Gentiana leucomelaena,Maxim. ex Kusn.,Gentianaceae,Gentiana,Species,368413-1,exact_name_unique
Gentiana olivieri Griseb.,Gentiana olivieri Griseb.,Accepted,Gentiana olivieri,Griseb.,Gentianaceae,Gentiana,Species,368595-1,exact_full
Gentiana prostrata Haenke,Gentiana prostrata Haenke,Accepted,Gentiana prostrata,Haenke,Gentianaceae,Gentiana,Species,108504-2,exact_full
Gentiana riparia Kar. & Kir.,Gentiana riparia Kar. & Kir.,Accepted,Gentiana riparia,Kar. & Kir.,Gentianaceae,Gentiana,Species,368827-1,exact_full
Gentiana sibirica (Kuzn.) Grossh.,Gentiana sibirica (Kusn.) Grossh.,Synonym,Gentianella sibirica,(Kusn.) Holub,Gentianaceae,Gentianella,Species,369300-1,exact_name_unique
Gentiana turkestanorum Gand.,Gentiana turkestanorum Gand.,Synonym,Gentianella turkestanorum,(Gand.) Holub,Gentianaceae,Gentianella,Species,369318-1,exact_full
Geranium bashkyzylsaicum Nabiev,Geranium baschkyzylsaicum Nabiev,Accepted,Geranium baschkyzylsaicum,Nabiev,Geraniaceae,Geranium,Species,899954-1,canon_exact
Geranium charlesii (Aitch. & Hemsl.) Vved. ex Nevski,Geranium charlesii (Aitch. & Hemsl.) Vved.,Synonym,Geranium kotschyi subsp. charlesii,(Aitch. & Hemsl.) P.H.Davis,Geraniaceae,Geranium,Subspecies,77250341-1,exact_name_unique
Geranium collinum Steph. ex Willd.,Geranium collinum Stephan ex Willd.,Accepted,Geranium collinum,Stephan ex Willd.,Geraniaceae,Geranium,Species,372909-1,exact_name_unique
Geranium dissectum L.,Geranium dissectum L.,Accepted,Geranium dissectum,L.,Geraniaceae,Geranium,Species,30210528-2,exact_full
Geranium divaricatum Ehrh.,Geranium divaricatum Ehrh.,Accepted,Geranium divaricatum,Ehrh.,Geraniaceae,Geranium,Species,372984-1,name_multi_author_ok
Geranium pusillum L.,Geranium pusillum L.,Accepted,Geranium pusillum,L.,Geraniaceae,Geranium,Species,60444752-2,exact_full
Geranium regelii Nevski,Geranium regelii Nevski,Synonym,Geranium saxatile,Kar. & Kir.,Geraniaceae,Geranium,Species,373624-1,exact_full
Geranium robertianum L.,Geranium robertianum L.,Accepted,Geranium robertianum,L.,Geraniaceae,Geranium,Species,109269-2,exact_full
Geranium rotundifolium L.,Geranium rotundifolium L.,Accepted,Geranium rotundifolium,L.,Geraniaceae,Geranium,Species,373602-1,exact_full
Geranium saxatile Kar. & Kir.,Geranium saxatile Kar. & Kir.,Accepted,Geranium saxatile,Kar. & Kir.,Geraniaceae,Geranium,Species,373624-1,exact_full
Geranium schrenkianum Trautv. ex A.K. Becker,Geranium schrenkianum Trautv. ex A.K.Becker,Accepted,Geranium schrenkianum,Trautv. ex A.K.Becker,Geraniaceae,Geranium,Species,373631-1,exact_full
Geranium sibiricum L.,Geranium sibiricum L.,Accepted,Geranium sibiricum,L.,Geraniaceae,Geranium,Species,322496-2,exact_full
Geranium transversale (Kar. & Kir.) Vved.,Geranium transversale (Kar. & Kir.) Vved. ex Pavlov,Synonym,Geranium linearilobum,DC.,Geraniaceae,Geranium,Species,373255-1,exact_name_unique
Gerbera kokanica Regel & Schmelh.,Gerbera kokanica Regel & Schmalh.,Synonym,Oreoseris kokanica,(Regel & Schmalh.) J.Wen & W.Zheng,Asteraceae,Oreoseris,Species,77176443-1,exact_name_unique
Geum allepicum Jacq.,Geum aleppicum Jacq.,Accepted,Geum aleppicum,Jacq.,Rosaceae,Geum,Species,30094401-2,manual_alias
Geum rivale L.,Geum rivale L.,Accepted,Geum rivale,L.,Rosaceae,Geum,Species,725355-1,exact_full
Geum urbanum L.,Geum urbanum L.,Accepted,Geum urbanum,L.,Rosaceae,Geum,Species,725399-1,exact_full
Girgensohnia bungeana Sukhor.,Girgensohnia bungeana Sukhor.,Accepted,Girgensohnia bungeana,Sukhor.,Amaranthaceae,Girgensohnia,Species,77086961-1,exact_full
Girgensohnia diptera Bunge,Girgensohnia diptera Bunge,Accepted,Girgensohnia diptera,Bunge,Amaranthaceae,Girgensohnia,Species,165623-1,exact_full
Girgensohnia oppositiflora (Pall.) Fenzl,Girgensohnia oppositiflora (Pall.) Fenzl,Accepted,Girgensohnia oppositiflora,(Pall.) Fenzl,Amaranthaceae,Girgensohnia,Species,165629-1,exact_full
Gladiolus italicus Mill.,Gladiolus italicus Mill.,Accepted,Gladiolus italicus,Mill.,Iridaceae,Gladiolus,Species,437543-1,exact_full
Glaucium corniculatum (L.) Curtis,Glaucium corniculatum (L.) Rudolph,Accepted,Glaucium corniculatum,(L.) Rudolph,Papaveraceae,Glaucium,Species,673158-1,exact_name_unique
Glaucium elegans Fisch. & C.A.Mey.,Glaucium elegans Fisch. & C.A.Mey.,Accepted,Glaucium elegans,Fisch. & C.A.Mey.,Papaveraceae,Glaucium,Species,673161-1,exact_full
Glaucium elegans subsp. bracteatum (Popov) Mory,Glaucium elegans subsp. bracteatum (Popov) Mory,Accepted,Glaucium elegans subsp. bracteatum,(Popov) Mory,Papaveraceae,Glaucium,Subspecies,888056-1,exact_full
Glaucium fimbrilligerum Boiss.,Glaucium fimbrilligerum Boiss.,Accepted,Glaucium fimbrilligerum,Boiss.,Papaveraceae,Glaucium,Species,673164-1,exact_full
Glaucium insigne Popov,Glaucium insigne Popov,Accepted,Glaucium insigne,Popov,Papaveraceae,Glaucium,Species,673174-1,exact_full
Glaucium squamigerum Kar. & Kir.,Glaucium squamigerum Kar. & Kir.,Accepted,Glaucium squamigerum,Kar. & Kir.,Papaveraceae,Glaucium,Species,673202-1,name_multi_author_ok
Glaux maritima L.,Glaux maritima L.,Synonym,Lysimachia maritima,"(L.) Galasso, Banfi & Soldano",Primulaceae,Lysimachia,Species,77068343-1,exact_full
Glyceria plicata (Fr.) Fr.,Glyceria plicata (Fr.) Fr.,Synonym,Glyceria notata,Chevall.,Poaceae,Glyceria,Species,60437219-2,exact_full
Glycyrrhiza aspera Pall.,Glycyrrhiza aspera Pall.,Accepted,Glycyrrhiza aspera,Pall.,Fabaceae,Glycyrrhiza,Species,496924-1,exact_full
Glycyrrhiza bucharica Regel,Glycyrrhiza bucharica Regel,Accepted,Glycyrrhiza bucharica,Regel,Fabaceae,Glycyrrhiza,Species,496929-1,exact_full
Glycyrrhiza glabra L.,Glycyrrhiza glabra L.,Accepted,Glycyrrhiza glabra,L.,Fabaceae,Glycyrrhiza,Species,496941-1,exact_full
Glycyrrhiza triphylla Fisch. & C.A. Mey. (G. erythrocarpa (Vass.) M.N. Abdull.),Glycyrrhiza triphylla Fisch. & C.A.Mey.,Accepted,Glycyrrhiza triphylla,Fisch. & C.A.Mey.,Fabaceae,Glycyrrhiza,Species,496972-1,exact_name_unique
Glycyrrhiza uralensis Fisch. ex DC.,Glycyrrhiza uralensis Fisch. ex DC.,Accepted,Glycyrrhiza uralensis,Fisch. ex DC.,Fabaceae,Glycyrrhiza,Species,496974-1,exact_full
