species_sci,wcvp_matched_name,wcvp_status,accepted_name,accepted_authors,accepted_family,accepted_genus,accepted_rank,powo_id,powo_match_type
Cichorium intybus L.,Cichorium intybus L.,Accepted,Cichorium intybus,L.,Asteraceae,Cichorium,Species,194533-1,exact_full
Cirsium alatum (S.C. Gmel.) Bobrov,Cirsium alatum (S.G.Gmel.) Bobrov,Accepted,Cirsium alatum,(S.G.Gmel.) Bobrov,Asteraceae,Cirsium,Species,194972-1,exact_name_unique
Cirsium arvense (L.) Scop.,Cirsium arvense (L.) Scop.,Accepted,Cirsium arvense,(L.) Scop.,Asteraceae,Cirsium,Species,195034-1,exact_full
Cirsium brevipapposum Tscherneva,Cirsium brevipapposum Tschern.,Accepted,Cirsium brevipapposum,Tschern.,Asteraceae,Cirsium,Species,195102-1,exact_name_unique
Cirsium esculentum (Siev.) C.A. Mey.,Cirsium esculentum (Siev.) C.A.Mey.,Accepted,Cirsium esculentum,(Siev.) C.A.Mey.,Asteraceae,Cirsium,Species,195326-1,exact_full
Cirsium glabrifolium (C. Winkl.) O. & B. Fedtsch.,Cirsium × glabrifolium (C.Winkl.) Petr.,Accepted,Cirsium × glabrifolium,(C.Winkl.) Petr.,Asteraceae,Cirsium,Species,195397-1,canon_exact
Cirsium incanum (S.G. Gmel.) Fisch.,Cirsium incanum (S.G.Gmel.) Fisch. ex M.Bieb.,Synonym,Cirsium arvense var. vestitum,Wimm. & Grab.,Asteraceae,Cirsium,Variety,77180992-1,exact_name_unique
Cirsium ochrolepideum Juz.,Cirsium ochrolepidium Juz.,Synonym,Cirsium arvense var. arvense,"",Asteraceae,Cirsium,Variety,77231604-1,canon_fuzzy1
Cirsium polyacanthum Kar. & Kir.,Cirsium polyacanthum Kar. & Kir.,Synonym,Cirsium sieversii,(Fisch. & C.A.Mey.) Petr.,Asteraceae,Cirsium,Species,77181639-1,name_multi_author_ok
Cirsium semenovii Regel,Cirsium semenowii Regel,Accepted,Cirsium semenowii,Regel,Asteraceae,Cirsium,Species,195976-1,canon_exact
Cirsium turkestanicum (Regel) Petr.,Cirsium turkestanicum Petr.,Accepted,Cirsium turkestanicum,Petr.,Asteraceae,Cirsium,Species,196146-1,exact_name_unique
Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,Accepted,Cirsium vulgare,(Savi) Ten.,Asteraceae,Cirsium,Species,196191-1,exact_full
Cistanche ambigua (Bunge) Beck,Cistanche ambigua (Bunge) Beck,Synonym,Cistanche salsa,(C.A.Mey.) Beck,Orobanchaceae,Cistanche,Species,661966-1,exact_full
Cistanche flava (C.A. Mey.) Korsh.,Cistanche flava (C.A.Mey.) Korsh.,Accepted,Cistanche flava,(C.A.Mey.) Korsh.,Orobanchaceae,Cistanche,Species,77112551-1,exact_full
Cistanche mongolica Beck,Cistanche mongolica Beck,Accepted,Cistanche mongolica,Beck,Orobanchaceae,Cistanche,Species,661963-1,exact_full
Cistanche ridgewayana Aitch. & Hemsl.,Cistanche ridgewayana Aitch. & Hemsl.,Accepted,Cistanche ridgewayana,Aitch. & Hemsl.,Orobanchaceae,Cistanche,Species,77103687-1,exact_full
Cistanche salsa (C.A. Mey.) Beck,Cistanche salsa (C.A.Mey.) Beck,Accepted,Cistanche salsa,(C.A.Mey.) Beck,Orobanchaceae,Cistanche,Species,661966-1,exact_full
Cithareloma lehmannii Bunge,Cithareloma lehmannii Bunge,Accepted,Cithareloma lehmannii,Bunge,Brassicaceae,Cithareloma,Species,281291-1,exact_full
Cithareloma vernum Bunge,Cithareloma vernum Bunge,Accepted,Cithareloma vernum,Bunge,Brassicaceae,Cithareloma,Species,281293-1,exact_full
Cladium martii (Roem. & Schult). K. Richt.,Cladium martii (Roem. & Schult.) K.Richt.,Synonym,Cladium mariscus subsp. mariscus,"",Cyperaceae,Cladium,Subspecies,77170002-1,exact_name_unique
Clematis orientalis L.,Clematis orientalis L.,Accepted,Clematis orientalis,L.,Ranunculaceae,Clematis,Species,60392-2,exact_full
Clematis songorica Bunge,Clematis songorica Bunge,Accepted,Clematis songorica,Bunge,Ranunculaceae,Clematis,Species,710074-1,exact_full
Clementsia semenovii (Regel & Herder) Boriss.,Clementsia semenovii (Regel & Herder) Boriss.,Synonym,Rhodiola semenovii,(Regel & Herder) Boriss.,Crassulaceae,Rhodiola,Species,274874-1,exact_full
Cleome fimbriata Vicary,Cleome fimbriata Vicary,Accepted,Cleome fimbriata,Vicary,Cleomaceae,Cleome,Species,147037-1,exact_full
Cleome gordjaginii Popov,Cleome gordjaginii Popov,Accepted,Cleome gordjaginii,Popov,Cleomaceae,Cleome,Species,147065-1,exact_full
Cleome lipskyi Popov,Cleome lipskyi Popov,Accepted,Cleome lipskyi,Popov,Cleomaceae,Cleome,Species,147145-1,exact_full
Cleome quinquenervia DC.,Cleome quinquenervia DC.,Accepted,Cleome quinquenervia,DC.,Cleomaceae,Cleome,Species,147271-1,exact_full
Cleome tomentella Popov,Cleome tomentella Popov,Accepted,Cleome tomentella,Popov,Cleomaceae,Cleome,Species,147351-1,exact_full
Climacoptera amblyostegia Botsch.,Climacoptera amblyostegia (Botsch.) Botsch.,Accepted,Climacoptera amblyostegia,(Botsch.) Botsch.,Amaranthaceae,Climacoptera,Species,165326-1,exact_name_unique
Climacoptera aralensis (Iljin) Botsch.,Climacoptera aralensis (Iljin) Botsch.,Accepted,Climacoptera aralensis,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165327-1,exact_full
Climacoptera brachiata (Pall.) Botsch.,Climacoptera brachiata (Pall.) Botsch.,Synonym,Pyankovia brachiata,(Pall.) Akhani & Roalson,Amaranthaceae,Pyankovia,Species,77089207-1,exact_full
Climacoptera bucharica (Iljin) Botsch.,Climacoptera bucharica (Iljin) Botsch.,Accepted,Climacoptera bucharica,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165329-1,exact_full
Climacoptera crassa (M. Bieb.) Botsch.,Climacoptera crassa (M.Bieb.) Botsch.,Accepted,Climacoptera crassa,(M.Bieb.) Botsch.,Amaranthaceae,Climacoptera,Species,165330-1,exact_full
Climacoptera ferganica (Drobow) Botsch.,Climacoptera ferganica (Drobow) Botsch.,Accepted,Climacoptera ferganica,(Drobow) Botsch.,Amaranthaceae,Climacoptera,Species,165331-1,exact_full
Climacoptera intricata (Iljin) Botsch.,Climacoptera intricata (Iljin) Botsch.,Accepted,Climacoptera intricata,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165332-1,exact_full
Climacoptera lachnophylla (Iljin) Botsch.,Climacoptera lachnophylla (Iljin) Botsch.,Accepted,Climacoptera lachnophylla,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165335-1,exact_full
Climacoptera lanata (Pall.) Botsch.,Climacoptera lanata (Pall.) Botsch.,Accepted,Climacoptera lanata,(Pall.) Botsch.,Amaranthaceae,Climacoptera,Species,165336-1,exact_full
Climacoptera longistylosa (Iljin) Botsch.,Climacoptera longistylosa (Iljin) Botsch.,Accepted,Climacoptera longistylosa,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165337-1,exact_full
Climacoptera malyginii (Korovin ex Botsch.) Botsch.,Climacoptera malyginii (Korovin ex Botsch.) Botsch.,Accepted,Climacoptera malyginii,(Korovin ex Botsch.) Botsch.,Amaranthaceae,Climacoptera,Species,165338-1,exact_full
Climacoptera merkulowiczii (Zakirov) Botsch.,Climacoptera merculowitschii (Zakirov) Botsch.,Accepted,Climacoptera merculowitschii,(Zakirov) Botsch.,Amaranthaceae,Climacoptera,Species,165339-1,canon_exact
Climacoptera minkvitziae (Korovin) Botsch.,Climacoptera minkvitziae (Korovin) Botsch.,Accepted,Climacoptera minkvitziae,(Korovin) Botsch.,Amaranthaceae,Climacoptera,Species,165340-1,exact_full
Climacoptera olgae (Iljin) Botsch.,Climacoptera olgae (Iljin) Botsch.,Accepted,Climacoptera olgae,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165342-1,exact_full
Climacoptera oxyphylla U.P. Pratov,Climacoptera oxyphylla U.P.Pratov,Accepted,Climacoptera oxyphylla,U.P.Pratov,Amaranthaceae,Climacoptera,Species,930767-1,exact_full
Climacoptera pjataevae U.P. Pratov,Climacoptera pjataevae U.P.Pratov,Accepted,Climacoptera pjataevae,U.P.Pratov,Amaranthaceae,Climacoptera,Species,930760-1,exact_full
Climacoptera ptiloptera U.P. Pratov,Climacoptera ptiloptera U.P.Pratov,Accepted,Climacoptera ptiloptera,U.P.Pratov,Amaranthaceae,Climacoptera,Species,930766-1,exact_full
Climacoptera sukaczevii Botsch.,Climacoptera sukaczevii Botsch.,Accepted,Climacoptera sukaczevii,Botsch.,Amaranthaceae,Climacoptera,Species,165345-1,exact_full
Climacoptera transoxana (Iljin) Botsch.,Climacoptera transoxana (Iljin) Botsch.,Accepted,Climacoptera transoxana,(Iljin) Botsch.,Amaranthaceae,Climacoptera,Species,165346-1,exact_full
Climacoptera turcomanica (Litv.) Botsch.,Climacoptera turcomanica (Litv.) Botsch.,Accepted,Climacoptera turcomanica,(Litv.) Botsch.,Amaranthaceae,Climacoptera,Species,165347-1,exact_full
Clinopodium integerrimum Boriss.,Clinopodium integerrimum Boriss.,Accepted,Clinopodium integerrimum,Boriss.,Lamiaceae,Clinopodium,Species,445803-1,exact_full
Clypeola aspera (Grauer) Turrill,Clypeola aspera (Weber) Turrill,Accepted,Clypeola aspera,(Weber) Turrill,Brassicaceae,Clypeola,Species,281316-1,exact_name_unique
Clypeola jonthlaspi L.,Clypeola jonthlaspi L.,Accepted,Clypeola jonthlaspi,L.,Brassicaceae,Clypeola,Species,281341-1,exact_full
Cnicus benidictus L.,Cnicus benedictus L.,Synonym,Centaurea benedicta,(L.) L.,Asteraceae,Centaurea,Species,190024-1,manual_alias
"Codonopsis bactriana F.O. Khass.,U.H. Kodyrov & A. Myrz.","Codonopsis bactriana F.O.Khass., U.Kodyrov & A.Myrz.",Accepted,Codonopsis bactriana,"F.O.Khass., U.Kodyrov & A.Myrz.",Campanulaceae,Codonopsis,Species,77197087-1,exact_name_unique
Codonopsis clematidea (Schrenk) C.B. Clarke,Codonopsis clematidea (Schrenk) C.B.Clarke,Accepted,Codonopsis clematidea,(Schrenk) C.B.Clarke,Campanulaceae,Codonopsis,Species,141783-1,exact_full
Colchicum kesselringii Regel,Colchicum kesselringii Regel,Accepted,Colchicum kesselringii,Regel,Colchicaceae,Colchicum,Species,60454025-2,exact_full
Colchicum luteum Baker,Colchicum luteum Baker,Accepted,Colchicum luteum,Baker,Colchicaceae,Colchicum,Species,533333-1,exact_full
Colpodium altaicum Trin.,Colpodium altaicum Trin.,Synonym,Paracolpodium altaicum,(Trin.) Tzvelev,Poaceae,Paracolpodium,Species,413689-1,exact_full
Colpodium humile (M. Bieb.) Griseb.,Colpodium humile (M.Bieb.) Griseb.,Synonym,Catabrosella humilis,(M.Bieb.) Tzvelev,Poaceae,Catabrosella,Species,395144-1,name_multi_author_ok
Colpodium ornatum Nevski,Colpodium ornatum Nevski,Synonym,Catabrosella humilis,(M.Bieb.) Tzvelev,Poaceae,Catabrosella,Species,395144-1,exact_full
Colpodium parviflorum Boiss. & Buhse,Colpodium parviflorum Boiss. & Buhse,Synonym,Catabrosella parviflora,(Boiss. & Buhse) E.B.Alexeev ex R.R.Mill,Poaceae,Catabrosella,Species,905826-1,exact_full
Colutea brachyptera Sumnev.,Colutea brachyptera Sumnev.,Accepted,Colutea brachyptera,Sumnev.,Fabaceae,Colutea,Species,978708-1,exact_full
Colutea jarmolenkoi Shap.,Colutea jamnolenkoi Shap.,Accepted,Colutea jamnolenkoi,Shap.,Fabaceae,Colutea,Species,486847-1,manual_alias
Colutea orbiculata Sumnev.,Colutea orbiculata Sumnev.,Synonym,,,,,,,exact_full
Colutea paulsenii Freyn & Sint.,Colutea paulsenii Freyn,Accepted,Colutea paulsenii,Freyn,Fabaceae,Colutea,Species,486864-1,exact_name_unique
Conioselinum schugnanicum B. Fedtsch.,Conioselinum schugnanicum B.Fedtsch.,Synonym,Conioselinum tataricum,Hoffm.,Apiaceae,Conioselinum,Species,840650-1,exact_full
Conioselinum tataricum Fisch. ex Hoffm.,Conioselinum tataricum Hoffm.,Accepted,Conioselinum tataricum,Hoffm.,Apiaceae,Conioselinum,Species,840650-1,exact_name_unique
Conium maculatum L.,Conium maculatum L.,Accepted,Conium maculatum,L.,Apiaceae,Conium,Species,840668-1,exact_full
Conringia clavata Boiss.,Conringia clavata Boiss.,Synonym,Plagioloba perfoliata,(C.A.Mey.) D.A.German & Al-Shehbaz,Brassicaceae,Plagioloba,Species,77313759-1,exact_full
Conringia orientalis (L.) C. Presl,Conringia orientalis (L.) C.Presl,Accepted,Conringia orientalis,(L.) C.Presl,Brassicaceae,Conringia,Species,60455373-2,exact_full
Conringia persica Boiss.,Conringia persica Boiss.,Synonym,Plagioloba persica,(Boiss.) Khosravi & Eslami-Farouji,Brassicaceae,Plagioloba,Species,77317660-1,exact_full
Conringia planisiliqua Fisch. & C.A. Mey.,Conringia planisiliqua Fisch. & C.A.Mey.,Synonym,Iljinskaea planisiliqua,"(Fisch. & C.A.Mey.) Al-Shehbaz, Özüdoğru & D.A.German",Brassicaceae,Iljinskaea,Species,77219034-1,exact_full
Convolvulus afanassievii Luferov,Convolvulus afanassievii Luferov,Synonym,Convolvulus divaricatus,Regel & Schmalh.,Convolvulaceae,Convolvulus,Species,266134-1,exact_full
Convolvulus arvensis L.,Convolvulus arvensis L.,Accepted,Convolvulus arvensis,L.,Convolvulaceae,Convolvulus,Species,265849-1,exact_full
Convolvulus divaricatus Regel & Schmalh.,Convolvulus divaricatus Regel & Schmalh.,Accepted,Convolvulus divaricatus,Regel & Schmalh.,Convolvulaceae,Convolvulus,Species,266134-1,exact_full
Convolvulus erinaceus Ledeb.,Convolvulus erinaceus Ledeb.,Accepted,Convolvulus erinaceus,Ledeb.,Convolvulaceae,Convolvulus,Species,266173-1,name_multi_author_ok
Convolvulus fruticosus Pall.,Convolvulus fruticosus Pall.,Accepted,Convolvulus fruticosus,Pall.,Convolvulaceae,Convolvulus,Species,266235-1,exact_full
Convolvulus hamadae (Vved.) Petrov,Convolvulus hamadae (Vved.) Petrov,Accepted,Convolvulus hamadae,(Vved.) Petrov,Convolvulaceae,Convolvulus,Species,266301-1,exact_full
Convolvulus korolkowii Regel & Schmalh.,Convolvulus korolkowii Regel & Schmalh.,Synonym,Convolvulus eremophilus,Boiss. & Buhse,Convolvulaceae,Convolvulus,Species,266171-1,exact_full
Convolvulus krauseanus Regel & Schmalh.,Convolvulus krauseanus Regel & Schmalh.,Accepted,Convolvulus krauseanus,Regel & Schmalh.,Convolvulaceae,Convolvulus,Species,266427-1,exact_full
Convolvulus lineatus L.,Convolvulus lineatus L.,Accepted,Convolvulus lineatus,L.,Convolvulaceae,Convolvulus,Species,266477-1,name_multi_author_ok
Convolvulus olgae Regel & Schmalh.,Convolvulus olgae Regel & Schmalh.,Synonym,Convolvulus leiocalycinus var. leiocalycinus,"",Convolvulaceae,Convolvulus,Variety,77172802-1,exact_full
Convolvulus pilosellifolius Desr.,Convolvulus pilosellifolius Desr.,Accepted,Convolvulus pilosellifolius,Desr.,Convolvulaceae,Convolvulus,Species,266759-1,exact_full
Convolvulus pseudocantabrica Schrenk,Convolvulus pseudocantabrica Schrenk ex Fisch. & C.A.Mey.,Accepted,Convolvulus pseudocantabrica,Schrenk ex Fisch. & C.A.Mey.,Convolvulaceae,Convolvulus,Species,266800-1,exact_name_unique
Convolvulus spinifer Popov,Convolvulus spinifer Popov,Accepted,Convolvulus spinifer,Popov,Convolvulaceae,Convolvulus,Species,267022-1,exact_full
Convolvulus subhirsutus Regel & Schmalh.,Convolvulus subhirsutus Regel & Schmalh.,Synonym,Convolvulus dorycnium subsp. subhirsutus,(Regel & Schmalh.) Sa'ad,Convolvulaceae,Convolvulus,Subspecies,77189161-1,exact_full
Convolvulus tschimganicus Popov & Vved.,Convolvulus tschimganicus Popov & Vved.,Accepted,Convolvulus tschimganicus,Popov & Vved.,Convolvulaceae,Convolvulus,Species,267145-1,exact_full
Conyza canadensis (L.) Cronq.,Conyza canadensis (L.) Cronquist,Synonym,Erigeron canadensis,L.,Asteraceae,Erigeron,Species,203653-1,exact_name_unique
Coriandrum sativum L.,Coriandrum sativum L.,Accepted,Coriandrum sativum,L.,Apiaceae,Coriandrum,Species,840760-1,exact_full
Corispermum aralocaspicum Iljin,Corispermum aralocaspicum Iljin,Accepted,Corispermum aralocaspicum,Iljin,Amaranthaceae,Corispermum,Species,165361-1,exact_full
Corispermum heptapotamicum Iljin,Corispermum heptapotamicum Iljin,Accepted,Corispermum heptapotamicum,Iljin,Amaranthaceae,Corispermum,Species,165393-1,exact_full
Corispermum korovinii Iljin,Corispermum korovinii Iljin,Accepted,Corispermum korovinii,Iljin,Amaranthaceae,Corispermum,Species,165407-1,exact_full
Corispermum lehmannianum Bunge,Corispermum lehmannianum Bunge,Accepted,Corispermum lehmannianum,Bunge,Amaranthaceae,Corispermum,Species,165411-1,exact_full
Corispermum papillosum (Kuntze) Iljin,Corispermum papillosum (Kuntze) Iljin,Accepted,Corispermum papillosum,(Kuntze) Iljin,Amaranthaceae,Corispermum,Species,165428-1,exact_full
Corispermum piliferum Iljin,Corispermum piliferum Iljin,Accepted,Corispermum piliferum,Iljin,Amaranthaceae,Corispermum,Species,165434-1,exact_full
Cornulaca korshinskyi Litv.,Cornulaca korshinskyi Litv.,Accepted,Cornulaca korshinskyi,Litv.,Amaranthaceae,Cornulaca,Species,165478-1,exact_full
Coronaria coriacea (Moench) Schischk. ex Gorschk.,Coronaria coriacea (Moench) Schischk. ex Gorschk.,Synonym,Silene coronaria,(L.) Clairv.,Caryophyllaceae,Silene,Species,60461121-2,exact_full
Cortusa turkestanica Losinsk.,Cortusa turkestanica Losinsk.,Synonym,Primula matthioli subsp. turkestanica,(Losinsk.) Kovt.,Primulaceae,Primula,Subspecies,77138829-1,exact_full
Corydalis aitchisonii Popov,Corydalis aitchisonii Popov,Accepted,Corydalis aitchisonii,Popov,Papaveraceae,Corydalis,Species,672049-1,exact_full
Corydalis darwasica Regel ex Prain,Corydalis darwasica Regel ex Prain,Accepted,Corydalis darwasica,Regel ex Prain,Papaveraceae,Corydalis,Species,60442639-2,exact_full
Corydalis glaucescens Regel,Corydalis glaucescens Regel,Accepted,Corydalis glaucescens,Regel,Papaveraceae,Corydalis,Species,672247-1,exact_full
Corydalis gortschakovii Schrenk,Corydalis gortschakovii Schrenk ex Fisch. & C.A.Mey.,Accepted,Corydalis gortschakovii,Schrenk ex Fisch. & C.A.Mey.,Papaveraceae,Corydalis,Species,672250-1,distribution_resolved
Corydalis halleri (Willd.) Willd.,Corydalis halleri (Willd.) Willd.,Synonym,Corydalis solida subsp. solida,"",Papaveraceae,Corydalis,Subspecies,77229663-1,exact_full
Corydalis ledebouriana Kar. & Kir.,Corydalis ledebouriana Kar. & Kir.,Accepted,Corydalis ledebouriana,Kar. & Kir.,Papaveraceae,Corydalis,Species,672328-1,exact_full
Corydalis maracandica Michajlova,Corydalis maracandica Michajlova,Accepted,Corydalis maracandica,Michajlova,Papaveraceae,Corydalis,Species,934031-1,exact_full
Corydalis nevskii Popov,Corydalis nevskii Popov,Synonym,Corydalis aitchisonii subsp. aitchisonii,"",Papaveraceae,Corydalis,Subspecies,77229761-1,exact_full
Corydalis nudicaulis Regel,Corydalis nudicaulis Regel,Accepted,Corydalis nudicaulis,Regel,Papaveraceae,Corydalis,Species,672387-1,exact_full
Corydalis paniculigera Regel & Schmalh.,Corydalis paniculigera Regel & Schmalh.,Accepted,Corydalis paniculigera,Regel & Schmalh.,Papaveraceae,Corydalis,Species,672413-1,exact_full
Corydalis popovii Nevski,Corydalis popovii Nevski ex Popov,Accepted,Corydalis popovii,Nevski ex Popov,Papaveraceae,Corydalis,Species,672428-1,distribution_resolved
Corydalis pseudostricta Popov,Corydalis pseudostricta Popov,Accepted,Corydalis pseudostricta,Popov,Papaveraceae,Corydalis,Species,672450-1,exact_full
Corydalis ruksansii Lidén,Corydalis ruksansii Lidén,Accepted,Corydalis ruksansii,Lidén,Papaveraceae,Corydalis,Species,960249-1,exact_full
Corydalis sangardanica Mikhailova,Corydalis sangardanica Mikhailova,Accepted,Corydalis sangardanica,Mikhailova,Papaveraceae,Corydalis,Species,77157857-1,exact_full
Corydalis schanginii (Pall.) B.Fedtsch.,Corydalis schanginii (Pall.) B.Fedtsch.,Accepted,Corydalis schanginii,(Pall.) B.Fedtsch.,Papaveraceae,Corydalis,Species,672487-1,exact_full
Corydalis schelesnowiana Regel & Schmalh.,Corydalis schelesnowiana Regel & Schmalh.,Accepted,Corydalis schelesnowiana,Regel & Schmalh.,Papaveraceae,Corydalis,Species,672488-1,exact_full
Corydalis sewerzowii Regel,Corydalis sewerzowii Regel,Accepted,Corydalis sewerzowii,Regel,Papaveraceae,Corydalis,Species,672498-1,exact_full
Corydalis stricta Steph. ex DC.,Corydalis stricta Stephan ex DC.,Accepted,Corydalis stricta,Stephan ex DC.,Papaveraceae,Corydalis,Species,672521-1,exact_name_unique
Cotoneaster allochrous Pojark.,Cotoneaster allochrous Pojark.,Accepted,Cotoneaster allochrous,Pojark.,Rosaceae,Cotoneaster,Species,722405-1,exact_full
Cotoneaster discolor Pojark.,Cotoneaster discolor Pojark.,Synonym,Cotoneaster nummularius,Fisch. & C.A.Mey.,Rosaceae,Cotoneaster,Species,722607-1,exact_full
Cotoneaster goloskokovii Pojark.,Cotoneaster goloskokovii Pojark.,Accepted,Cotoneaster goloskokovii,Pojark.,Rosaceae,Cotoneaster,Species,722506-1,exact_full
Cotoneaster hissaricus Pojark.,Cotoneaster hissaricus Pojark.,Accepted,Cotoneaster hissaricus,Pojark.,Rosaceae,Cotoneaster,Species,722518-1,exact_full
Cotoneaster insignis Pojark.,Cotoneaster insignis Pojark.,Accepted,Cotoneaster insignis,Pojark.,Rosaceae,Cotoneaster,Species,722534-1,exact_full
Cotoneaster integerrimus Medik.,Cotoneaster integerrimus Medik.,Accepted,Cotoneaster integerrimus,Medik.,Rosaceae,Cotoneaster,Species,722536-1,exact_full
Cotoneaster melanocarpus Fisch. ex Blytt,Cotoneaster melanocarpus (Bunge) Fisch. ex Loudon,Synonym,Cotoneaster laxiflorus,J.Jacq. ex Lindl.,Rosaceae,Cotoneaster,Species,722561-1,exact_name_unique
Cotoneaster multiflorus Bunge,Cotoneaster multiflorus Bunge,Accepted,Cotoneaster multiflorus,Bunge,Rosaceae,Cotoneaster,Species,722592-1,name_multi_author_ok
Cotoneaster nitens Rehd & Wils.,Cotoneaster nitens Rehder & E.H.Wilson,Accepted,Cotoneaster nitens,Rehder & E.H.Wilson,Rosaceae,Cotoneaster,Species,722603-1,exact_name_unique
Cotoneaster nummularioides Pojark.,Cotoneaster nummularioides Pojark.,Accepted,Cotoneaster nummularioides,Pojark.,Rosaceae,Cotoneaster,Species,722609-1,exact_full
Cotoneaster nummularius Fisch. & C.A. Mey.,Cotoneaster nummularius Fisch. & C.A.Mey.,Accepted,Cotoneaster nummularius,Fisch. & C.A.Mey.,Rosaceae,Cotoneaster,Species,722607-1,name_multi_author_ok
Cotoneaster oliganthus Pojark.,Cotoneaster oliganthus Pojark.,Accepted,Cotoneaster oliganthus,Pojark.,Rosaceae,Cotoneaster,Species,722615-1,exact_full
Cotoneaster pojarkovae Zakirov,Cotoneaster pojarkovae Zakirov,Accepted,Cotoneaster pojarkovae,Zakirov,Rosaceae,Cotoneaster,Species,722634-1,exact_full
Cotoneaster roborowskii Pojark.,Cotoneaster roborowskii Pojark.,Accepted,Cotoneaster roborowskii,Pojark.,Rosaceae,Cotoneaster,Species,722658-1,exact_full
Cotoneaster simonsii Baker.,Cotoneaster simonsii Baker,Accepted,Cotoneaster simonsii,Baker,Rosaceae,Cotoneaster,Species,722682-1,exact_name_unique
Cotoneaster soongoricus (Regel & Herder) Popov,Cotoneaster soongoricus (Regel & Herder) Popov,Accepted,Cotoneaster soongoricus,(Regel & Herder) Popov,Rosaceae,Cotoneaster,Species,722686-1,exact_full
Cotoneaster suavis Pojark.,Cotoneaster suavis Pojark.,Accepted,Cotoneaster suavis,Pojark.,Rosaceae,Cotoneaster,Species,722695-1,exact_full
Cotoneaster subacutus Pojark.,Cotoneaster subacutus Pojark.,Accepted,Cotoneaster subacutus,Pojark.,Rosaceae,Cotoneaster,Species,722696-1,exact_full
Cousinia adenophora Juz.,Cousinia adenophora Juz.,Accepted,Cousinia adenophora,Juz.,Asteraceae,Cousinia,Species,198623-1,exact_full
Cousinia alaica Juz. ex Tscherneva,Cousinia alaica Juz. ex Tscherneva,Accepted,Cousinia alaica,Juz. ex Tscherneva,Asteraceae,Cousinia,Species,198635-1,exact_full
Cousinia alata Schrenk,Cousinia alata Schrenk ex Fisch. & C.A.Mey.,Accepted,Cousinia alata,Schrenk ex Fisch. & C.A.Mey.,Asteraceae,Cousinia,Species,198636-1,exact_name_unique
Cousinia allolepis Tscherneva & Vved.,Cousinia allolepis Tscherneva & Vved.,Accepted,Cousinia allolepis,Tscherneva & Vved.,Asteraceae,Cousinia,Species,198647-1,exact_full
Cousinia alpina Bunge,Cousinia alpina Bunge,Accepted,Cousinia alpina,Bunge,Asteraceae,Cousinia,Species,198650-1,exact_full
Cousinia ambigens Juz.,Cousinia ambigens Juz.,Accepted,Cousinia ambigens,Juz.,Asteraceae,Cousinia,Species,198654-1,exact_full
Cousinia amoena C. Winkl.,Cousinia amoena C.Winkl.,Accepted,Cousinia amoena,C.Winkl.,Asteraceae,Cousinia,Species,198656-1,exact_full
Cousinia angreni Juz.,Cousinia angrenii Juz.,Accepted,Cousinia angrenii,Juz.,Asteraceae,Cousinia,Species,198660-1,canon_exact
Cousinia anomala Franch.,Cousinia anomala Franch.,Synonym,Arctium anomalum,(Franch.) Kuntze,Asteraceae,Arctium,Species,178275-1,exact_full
Cousinia astracanica (Spreng.) Tamamsch.,Cousinia astracanica (Biehler) Tamamsch.,Accepted,Cousinia astracanica,(Biehler) Tamamsch.,Asteraceae,Cousinia,Species,198686-1,exact_name_unique
Cousinia aurea C. Winkl.,Cousinia aurea C.Winkl.,Synonym,Arctium aureum,Kuntze,Asteraceae,Arctium,Species,178285-1,exact_full
Cousinia bobrovii Juz.,Cousinia bobrovii Juz.,Accepted,Cousinia bobrovii,Juz.,Asteraceae,Cousinia,Species,198719-1,exact_full
Cousinia bonvalotii Franch.,Cousinia bonvalotii Franch.,Accepted,Cousinia bonvalotii,Franch.,Asteraceae,Cousinia,Species,198721-1,exact_full
Cousinia botschantzevii Juz. ex Tscherneva,Cousinia botschantzevii Juz. ex Tscherneva,Accepted,Cousinia botschantzevii,Juz. ex Tscherneva,Asteraceae,Cousinia,Species,198723-1,exact_full
Cousinia bungeana Regel & Schmalh.,Cousinia bungeana Regel & Schmalh.,Accepted,Cousinia bungeana,Regel & Schmalh.,Asteraceae,Cousinia,Species,198729-1,exact_full
Cousinia butkovii Tscherneva & Vved.,Cousinia butkovii Tschern. & Vved.,Accepted,Cousinia butkovii,Tschern. & Vved.,Asteraceae,Cousinia,Species,198731-1,exact_name_unique
Cousinia caespitosa C. Winkl.,Cousinia caespitosa C.Winkl.,Accepted,Cousinia caespitosa,C.Winkl.,Asteraceae,Cousinia,Species,198734-1,exact_full
Cousinia campyloraphis Tscherneva,Cousinia campylaraphis Tschern.,Accepted,Cousinia campylaraphis,Tschern.,Asteraceae,Cousinia,Species,198744-1,canon_fuzzy1
Cousinia candicans Juz.,Cousinia candicans Juz.,Accepted,Cousinia candicans,Juz.,Asteraceae,Cousinia,Species,198746-1,exact_full
