lotincha_nom,qoraqalpoqcha_nom,manba
Echinochloa crus-galli (L.) Beauv.,сушигин,Ережепов 1978
Elaeagnus orientalis L.,жийде,Шербаев 1988
Elaeagnus oxycarpa Schlecht.,жигилдик,Шербаев 1988
Elaeagnus turkomanica N. Kozl.,жгилдик,Ережепов 1978
Elytrigia repens (L.) Nevski,бидаык,Ережепов 1978
Eminium lehmannii (Bunge) O. Kuntze,кушала,Ережепов 1978 + Шербаев 1988
Ephedra distachya L.,кзылша,Ережепов 1978
Ephedra equisetina Bunge,кзылша,Ережепов 1978
Ephedra lomatolepis Schrenk.,кзылша,Ережепов 1978
Ephedra przewalskii Stapf,"кзылша, кызылша",Ережепов 1978 + Шербаев 1988
Ephedra strobilaceae Bunge,кзылша,Ережепов 1978
Equisetum ramosissimum Desf.,кыркбуын,Ережепов 1978
Eremopyrum bonaepartis (Spreng.) Neski,арпахан,Шербаев 1988
Eremopyrum buonapartis (Spreng.) Nevski,"мортык, арпахан",Ережепов 1978
Eremopyrum distans (C. Koch) Nevski,арпахан,Ережепов 1978 + Шербаев 1988
Eremopyrum orientale (L.) Jaub. et Spach,"мортык, арпахан",Ережепов 1978 + Шербаев 1988
Eremopyrum triticeum (Gaertn.) Nevski,"мортык, арпахан",Ережепов 1978 + Шербаев 1988
Eremosparton aphyllum (Pall.) Fosch. et Mey.,"сыйркуйрык, сыпыргы, кустумсык",Ережепов 1978 + Шербаев 1988
Eremosparton laccidum Litv.,"сыйркуйрык, сыпыргы",Ережепов 1978
Erianthus ravennae (L.) Beauv.,мыска,Ережепов 1978
Erigeron canadensis L.,курай (сыйркуйрык),Ережепов 1978
Erodium litwinowii Woronow,Лайлек тумсык,Шербаев 1988
Eruca sativa Mill.,иллеу,Ережепов 1978
Euclidium syriacum (L.) R. Br.,"шытыр, каргатырнак",Ережепов 1978
Euphorbia densa Schrenk,козыкулак,Ережепов 1978 + Шербаев 1988
Euphorbia inderiensis Less.,козыкулак,Ережепов 1978
Euphorbia turczaninowii Kar. et Kir.,козыкулак,Ережепов 1978
Fedtschenkoa africana (L.) Dvorak,штыр,Ережепов 1978
Ferula assa-foetida L.,геурек,Ережепов 1978
Ferula dubjanskyi Kor.,жаужамыр,Ережепов 1978
Ferula schair Borszcz.,шаир,Ережепов 1978
Ferula varia (Schrenk) Trautv.,шайыр,Шербаев 1988
Ficus carica L.,хадимги анжир,Шербаев 1988
Fragaria moschata Duch.,кулупнай,Шербаев 1988
Frankenia hirsuta L.,кийик шоп,Шербаев 1988
Gamanthus gamocarpus (Moq.) Bunge,данашур,Ережепов 1978
Girgensohnia oppositiflora (Pall.) Fenzl,бозанг,Ережепов 1978
Glycyrrhiza glabra L.,боян,Ережепов 1978 + Шербаев 1988
Glycyrrhiza zaissanica Serg.,боян,Ережепов 1978
Goebelia alopecuroides (L.) Bunge,сасыкбоян,Ережепов 1978
Gypsophila perfoliata L.,"кангбак, канбак",Ережепов 1978 + Шербаев 1988
Halimocnemis karelinii Moq.,"бзаубас, балкангбак",Ережепов 1978
Halimocnemis latifolia Iljin.,бзаубас,Ережепов 1978
Halimocnemis longifolia Bunge,бзаубас,Ережепов 1978
Halimocnemis sclerosperma (Pall.) C. A. Mey.,"ебелек, кангбак",Ережепов 1978
Halimocnemis villosa Kar. et Kir.,"ебелек, кангбак",Ережепов 1978
Halimodendron halodendron (Pall.) Voss.,"шенгел, менгел",Ережепов 1978 + Шербаев 1988
Halocharis hispida (C. A. Mey.) Bunge,коянжун,Ережепов 1978 + Шербаев 1988
Halocnemum strobilaceum (Pall.) Bieb.,"сарсазан, сарысазан",Ережепов 1978 + Шербаев 1988
Halostachys caspica (Bieb.) C. A. Mey.,карабарак,Ережепов 1978 + Шербаев 1988
Haloxylon ammodendron (C. A. Mey.) Bunge,"кырсексеул, кырсексеуил",Ережепов 1978 + Шербаев 1988
Haloxylon aphyllum (Minkw.) Iljin.,"карасексеул, карасексеуил",Ережепов 1978 + Шербаев 1988
Haloxylon persicum Bunge,"аксеул, сексексеуил",Ережепов 1978 + Шербаев 1988
Haplophyllum ramosissimum (Pauls.) Vved.,"шайшоп, сарсебиз",Ережепов 1978
Heliotropium arguzioides Kar. et Kir.,шайшоп,Ережепов 1978
Horaninovia ulicina Fisch. et Mey.,сары тикен,Шербаев 1988
Horaninowia anomale (C. A. Mey) Moq.,сарыткен,Ережепов 1978
Horaninowia sogdiana Blag.,сарыткен,Ережепов 1978
Hyoscyamus niger L.,мингдуана,Ережепов 1978
Hyoscyamus pusillus L.,мингдуана,Ережепов 1978
Hypecoum pendulum L.,жабайыкокнар,Ережепов 1978
Iris germanica L.,каракас,Шербаев 1988
Iris longiscapa Ledeb.,"назил, нэзил, кемпир шаш",Ережепов 1978 + Шербаев 1988
Isatis violascens Bunge,штыр,Ережепов 1978
Juglans regia L.,"гоза, жангак",Шербаев 1988
Kalidium caspicum (L.) Ung.-Sternb.,штыр,Ережепов 1978
Kalidium foliatum (Pall.) Moq.,туйе сора,Шербаев 1988
Karelinia caspia (Pall.) Less.,акбас,Ережепов 1978 + Шербаев 1988
Kochia prostrata (L.) Schrad.,"изен, изень",Ережепов 1978 + Шербаев 1988
Koelpinia linearis Pall.,"пшыктырнак, каргатырнак, пышыктырнак",Ережепов 1978 + Шербаев 1988
Lagenaria vulgaris Ser.,суу кабак,Шербаев 1988
Lappula spinocarpa (Forsk.) Aschers. ex Kuntze,жабыскакшоп,Ережепов 1978
Lepidium cortilagineum (J. Mayer) Thell.,мынгбас,Ережепов 1978
Lepidium latifolium L.,мынгбас,Ережепов 1978
Lepidium perfoliatum L.,"мынгбас, мынбас",Ережепов 1978 + Шербаев 1988
Leymus angustus (Trin.) Pilg.,кияк,Ережепов 1978
Leymus multicaulis (Kar. et Kir.) Tzvel.,кияк,Ережепов 1978
Leymus racemosus (Lam.) Tzvel.,кияк,Ережепов 1978
Limonium gmelinii (Willd.) O. Kuntze,итсигек,Ережепов 1978
Limonium otolepis (Schrenk.) Kuntze,итсигек,Ережепов 1978
Luffa cylindrica (L.) M.Roem.,дасмалкабак,Шербаев 1988
Lycium ruthenicum Murr.,"актикен, акшенгел, карамык",Ережепов 1978 + Шербаев 1988
Mausolea eriocarpa (Bunge) Poljak.,харем жуусан,Шербаев 1988
Medicago lupulina L.,жабайыжонгыршка,Ережепов 1978
Medicago sativa L.,егис жонышкасы,Шербаев 1988
Melo agrestis (Naud.) Pang.,ийт туинек,Шербаев 1988
Melo dudaim (L.) Sager.,тас туинек,Шербаев 1988
